word;freq
prairie;3
prairies;2
prayer;6
prayers;2
prejudices;1
prescription;2
price;44
prices;4
priest;5
prison;15
prisoner;63
privet;1
prize;17
prizes;2
probabilities;1
procedure;1
production;2
psychologists;1
publication;6
pulses;1
pumpkin;1
puncture;2
pupils;2
puppets;1
rabbi;1
rabbit;7
race;18
radiations;1
railroad;7
rains;2
rash;4
rat;22
raven;2
ravens;2
registers;1
registry;3
regret;21
regulation;1
regulations;2
relapse;1
relatives;9
religions;1
report;78
reports;19
resource;6
resources;9
restaurant;6
restlessness;4
rests;3
retention;1
rheumatism;1
rhododendrons;1
rice;1
rifles;6
risks;3
river;43
roles;1
rose;133
rue;3
rugby;3
runaways;1
sable;1
saffron;1
sahara;1
sailor;18
sailors;10
saint;2
salary;13
sale;5
sales;2
satisfaction;40
savings;1
scales;3
scandinavia;3
scar;5
scars;3
schedule;2
scholarship;4
school;45
screening;2
seas;5
season;9
secrecy;23
seed;2
seizure;1
self;81
sensations;1
separated;20
separation;5
set;254
shark;5
ship;39
shoe;12
shoulders;102
siam;1
sister;79
sisters;4
sits;4
skeletons;1
skulls;1
skunk;2
slave;3
sleeplessness;1
slugs;1
slums;1
smelt;2
smokeless;1
smokes;3
snake;9
snuff;6
soap;2
soils;1
soldier;14
soldiers;10
son;137
song;5
songs;2
sons;13
sounds;28
specialism;1
specialist;15
specialists;1
spectacles;13
spider;2
sponge;7
sponges;1
sport;10
spouse;1
squint;1
squirrel;1
staining;2
stains;22
stammering;1
standards;1
stealing;1
stem;2
stethoscope;2
sting;1
stoicism;2
strain;17
strains;1
stream;33
streams;2
strike;35
strikes;16
student;21
suffering;19
suffocation;1
suggestions;2
suicides;1
sumatra;5
sun;60
sunshine;11
superstition;6
supervision;3
supper;25
suppers;1
supplies;5
surgery;10
survey;3
surveys;1
survivor;3
swamp;3
syringe;5
tadpole;1
tails;5
talent;7
talents;9
tan;5
tassel;1
tastes;13
tax;7
tear;8
teens;2
teeth;33
telescope;6
tendon;1
thefts;2
thermometer;2
throat;51
throats;3
thyme;1
tiger;30
tissue;3
toe;10
tongues;1
tortoise;1
toy;3
toys;1
track;98
tracks;35
transfer;1
travels;7
treatment;12
treaty;19
tree;22
tremors;1
tribes;1
truck;2
trucks;1
trustee;2
twin;2
typhoid;3
un;8
unconscious;11
understanding;10
undertaking;3
undertakings;1
uniform;10
uniforms;2
university;17
unmarried;10
varnish;4
vaseline;1
vegetable;2
vein;4
venom;1
ventilator;14
ventilators;1
versed;2
veteran;2
vinegar;1
violet;21
virtue;2
vision;11
voices;26
volunteer;5
wages;10
walker;1
war;38
wattles;1
weapon;56
weasel;2
weights;1
whale;1
wheat;2
wheezing;1
whiskers;18
whistling;4
white;237
who;1688
widow;11
widowed;1
widower;12
wife;284
will;1819
willows;1
winds;9
wines;4
winking;1
wit;7
wives;9
wolf;5
woman;388
woodlands;1
woods;20
workshop;1
wound;44
wounds;5
wrists;12
yam;1
yams;1
youth;35
youths;2
